date,subsite,time,age,count,year
2012-05-02T00:00:00Z,DE,15:20:00,adult,702,2012
2012-05-02T00:00:00Z,DE,15:20:00,pup,384,2012
2012-05-02T00:00:00Z,DP,15:40:00,adult,579,2012
2012-05-02T00:00:00Z,DP,15:40:00,pup,294,2012
2012-05-05T00:00:00Z,DE,08:22:00,adult,443,2012
2012-05-05T00:00:00Z,DE,08:22:00,pup,284,2012
2012-05-07T00:00:00Z,BL,09:30:00,adult,290,2012
2012-05-07T00:00:00Z,BL,09:30:00,pup,243,2012
2012-05-07T00:00:00Z,DE,09:45:00,adult,543,2012
2012-05-07T00:00:00Z,DE,09:45:00,pup,288,2012
2012-05-09T00:00:00Z,DE,09:45:00,adult,512,2012
2012-05-09T00:00:00Z,DE,09:45:00,pup,324,2012
2012-05-10T00:00:00Z,DE,08:45:00,adult,532,2012
2012-05-10T00:00:00Z,DE,08:45:00,pup,344,2012
2012-05-10T00:00:00Z,DP,12:00:00,adult,271,2012
2012-05-10T00:00:00Z,DP,12:00:00,pup,190,2012
2012-05-11T00:00:00Z,BL,11:45:00,adult,306,2012
2012-05-11T00:00:00Z,BL,11:45:00,pup,183,2012
2012-05-16T00:00:00Z,BL,16:55:00,adult,277,2012
2012-05-16T00:00:00Z,BL,16:55:00,pup,116,2012
2012-05-16T00:00:00Z,DE,14:15:00,adult,625,2012
2012-05-16T00:00:00Z,DE,14:15:00,pup,272,2012
2012-05-17T00:00:00Z,DP,15:00:00,adult,509,2012
2012-05-17T00:00:00Z,DP,15:00:00,pup,99,2012
2012-05-18T00:00:00Z,BL,16:25:00,adult,183,2012
2012-05-18T00:00:00Z,BL,16:25:00,pup,66,2012
2012-05-19T00:00:00Z,DP,14:15:00,adult,440,2012
2012-05-19T00:00:00Z,DP,14:15:00,pup,115,2012
2012-05-20T00:00:00Z,DE,08:53:00,adult,478,2012
2012-05-20T00:00:00Z,DE,08:53:00,pup,177,2012
2012-05-23T00:00:00Z,BL,10:40:00,adult,186,2012
2012-05-23T00:00:00Z,BL,10:40:00,pup,82,2012
2012-05-23T00:00:00Z,DE,10:00:00,adult,342,2012
2012-05-23T00:00:00Z,DE,10:00:00,pup,203,2012
2012-05-24T00:00:00Z,DP,12:30:00,adult,319,2012
2012-05-24T00:00:00Z,DP,12:30:00,pup,79,2012
2012-05-25T00:00:00Z,DE,10:40:00,adult,417,2012
2012-05-25T00:00:00Z,DE,10:40:00,pup,166,2012
2012-05-26T00:00:00Z,BL,10:40:00,adult,166,2012
2012-05-26T00:00:00Z,BL,10:40:00,pup,36,2012
